trip_id,car_name,vehicle_type,fuel_type,trip_category,distance_km,trip_duration_hr,avg_speed_kmph,base_mileage_kmpl,actual_mileage_kmpl,mileage_delta_kmpl,fuel_consumed_L,fuel_cost_usd,cost_per_km_usd,co2_emissions_kg,co2_per_km,relative_efficiency,efficiency_band
150,Tata Harrier,SUV,Diesel,Long (200–400 km),249.68,2.87,86.85,14.09,13.98,-0.11,17.86,20.44,0.0819,47.865,0.1917,0.6452,Average
151,Mahindra Marazzo,MUV,Diesel,Long (200–400 km),301.08,3.6,83.55,13.29,14.03,0.74,21.46,24.56,0.0816,57.513,0.191,0.7361,Average
152,Hyundai Verna,Sedan,Diesel,Long (200–400 km),259.1,2.72,95.14,19.1,20.1,1.0,12.89,14.75,0.0569,34.545,0.1333,0.7932,Good
153,Tata Tiago,Hatchback,Diesel,Very Long (>400 km),408.76,4.72,86.65,18.62,17.8,-0.82,22.97,26.29,0.0643,61.56,0.1506,0.6501,Average
154,Hyundai Creta,SUV,Hybrid,Long (200–400 km),356.21,3.5,101.64,17.33,17.92,0.59,19.88,23.95,0.0672,39.76,0.1116,0.827,Good
155,Toyota Fortuner,SUV,Petrol,Medium (50–200 km),171.57,3.85,44.55,12.65,12.01,-0.64,14.29,18.08,0.1054,33.01,0.1924,0.5541,Average
156,Maruti Swift,Hatchback,Diesel,Long (200–400 km),344.53,5.34,64.58,20.51,21.06,0.55,16.36,18.73,0.0544,43.845,0.1273,0.7694,Good
157,Hyundai i20,Hatchback,Hybrid,Long (200–400 km),300.58,2.56,117.55,23.95,24.56,0.61,12.24,14.75,0.0491,24.48,0.0814,0.8972,Good
158,Audi A6,Luxury,Hybrid,Long (200–400 km),335.89,2.8,119.82,12.46,12.58,0.12,26.7,32.17,0.0958,53.4,0.159,0.6692,Average
159,Toyota Innova,MUV,Petrol,Long (200–400 km),219.12,3.09,70.98,14.49,14.05,-0.44,15.6,19.73,0.09,36.036,0.1645,0.7369,Average
160,Toyota Innova,MUV,Diesel,Very Long (>400 km),471.44,5.13,91.9,13.31,12.2,-1.11,38.65,44.24,0.0938,103.582,0.2197,0.6399,Average
161,Honda Brio,Hatchback,Diesel,Medium (50–200 km),73.38,0.67,109.45,19.91,20.73,0.82,3.54,4.05,0.0552,9.487,0.1293,0.7573,Good
162,Renault Triber,MUV,Petrol,Long (200–400 km),372.5,6.57,56.71,13.7,15.03,1.33,24.78,31.35,0.0842,57.242,0.1537,0.7886,Good
163,Maruti Swift,Hatchback,Hybrid,Medium (50–200 km),67.33,1.37,49.32,22.98,24.13,1.15,2.79,3.36,0.0499,5.58,0.0829,0.8817,Good
164,Mahindra Marazzo,MUV,Diesel,Long (200–400 km),291.61,2.59,112.64,15.65,15.98,0.33,18.25,20.89,0.0716,48.91,0.1677,0.8383,Good
165,Mahindra Marazzo,MUV,Petrol,Long (200–400 km),227.73,2.6,87.65,11.57,12.63,1.06,18.03,22.81,0.1002,41.649,0.1829,0.6626,Average
166,Maruti Ciaz,Sedan,Hybrid,Long (200–400 km),399.88,3.53,113.26,21.52,22.14,0.62,18.06,21.76,0.0544,36.12,0.0903,0.8738,Good
167,Toyota Yaris,Sedan,Petrol,Medium (50–200 km),79.69,0.72,110.01,13.98,12.77,-1.21,6.24,7.89,0.099,14.414,0.1809,0.504,Poor
168,Audi A6,Luxury,Diesel,Long (200–400 km),267.82,3.1,86.45,12.89,11.86,-1.03,22.59,25.86,0.0966,60.541,0.2261,0.6307,Average
169,Honda Brio,Hatchback,Diesel,Long (200–400 km),397.24,4.44,89.43,19.93,20.57,0.64,19.31,22.1,0.0556,51.751,0.1303,0.7516,Good
170,Audi A6,Luxury,Hybrid,Medium (50–200 km),83.45,1.11,75.19,13.36,12.98,-0.38,6.43,7.75,0.0929,12.86,0.1541,0.6904,Average
171,Audi A6,Luxury,Diesel,Long (200–400 km),240.48,2.4,100.17,10.51,9.72,-0.79,24.74,28.32,0.1178,66.303,0.2757,0.5171,Poor
172,Mahindra Marazzo,MUV,Petrol,Very Long (>400 km),416.64,4.79,87.04,11.79,12.14,0.35,34.31,43.4,0.1042,79.256,0.1902,0.6371,Average
173,Mercedes C-Class,Luxury,Diesel,Long (200–400 km),396.51,4.51,87.89,10.87,11.06,0.19,35.84,41.02,0.1035,96.051,0.2422,0.5886,Average
174,Toyota Innova,MUV,Diesel,Long (200–400 km),294.37,5.37,54.79,14.1,15.46,1.36,19.04,21.79,0.074,51.027,0.1733,0.8111,Good
175,Audi A6,Luxury,Diesel,Medium (50–200 km),128.85,1.38,93.32,11.13,12.16,1.03,10.6,12.13,0.0941,28.408,0.2205,0.6467,Average
176,Audi A6,Luxury,Hybrid,Long (200–400 km),376.3,6.32,59.53,12.98,12.73,-0.25,29.56,35.61,0.0946,59.12,0.1571,0.6772,Average
177,Kia Carens,MUV,Petrol,Long (200–400 km),251.98,3.57,70.62,14.42,13.5,-0.92,18.66,23.61,0.0937,43.105,0.1711,0.7085,Average
178,Kia Carens,MUV,Petrol,Short (<50 km),32.39,0.38,84.26,13.02,12.96,-0.06,2.5,3.16,0.0976,5.775,0.1783,0.6797,Average
179,Toyota Fortuner,SUV,Petrol,Medium (50–200 km),74.5,0.66,113.4,12.79,12.11,-0.68,6.15,7.78,0.1044,14.207,0.1907,0.5591,Average
180,Honda City,Sedan,Petrol,Long (200–400 km),329.87,7.56,43.65,17.51,16.08,-1.43,20.52,25.96,0.0787,47.401,0.1437,0.6344,Average
181,Maruti Swift,Hatchback,Petrol,Medium (50–200 km),80.93,1.62,49.86,19.68,19.6,-0.08,4.13,5.22,0.0645,9.54,0.1179,0.7159,Average
182,Honda Brio,Hatchback,Petrol,Very Long (>400 km),475.51,9.25,51.4,15.3,15.66,0.36,30.36,38.41,0.0808,70.132,0.1475,0.5722,Average
183,Toyota Innova,MUV,Diesel,Short (<50 km),46.6,0.7,66.49,16.36,15.53,-0.83,3.0,3.43,0.0736,8.04,0.1725,0.8149,Good
184,Maruti Swift,Hatchback,Petrol,Medium (50–200 km),67.24,0.58,116.54,15.11,14.81,-0.3,4.54,5.74,0.0854,10.487,0.156,0.5411,Poor
185,Jaguar XF,Luxury,Petrol,Medium (50–200 km),105.94,1.02,103.8,8.68,8.38,-0.3,12.64,15.99,0.1509,29.198,0.2756,0.4459,Poor
186,Jaguar XF,Luxury,Diesel,Medium (50–200 km),54.91,0.88,62.45,11.33,11.68,0.35,4.7,5.38,0.098,12.596,0.2294,0.6215,Average
187,Toyota Fortuner,SUV,Hybrid,Long (200–400 km),349.9,2.99,116.93,19.96,19.08,-0.88,18.34,22.1,0.0632,36.68,0.1048,0.8805,Good
188,Tata Tiago,Hatchback,Petrol,Medium (50–200 km),180.41,1.83,98.47,17.05,17.33,0.28,10.41,13.17,0.073,24.047,0.1333,0.6332,Average
189,Tata Harrier,SUV,Petrol,Medium (50–200 km),52.63,0.97,54.5,14.16,12.96,-1.2,4.06,5.14,0.0977,9.379,0.1782,0.5983,Average
190,Toyota Fortuner,SUV,Diesel,Long (200–400 km),316.93,3.71,85.48,14.61,16.02,1.41,19.78,22.64,0.0714,53.01,0.1673,0.7395,Average
191,Kia Carens,MUV,Diesel,Medium (50–200 km),83.84,1.59,52.7,16.84,15.47,-1.37,5.42,6.2,0.074,14.526,0.1733,0.8115,Good
192,BMW 5 Series,Luxury,Diesel,Long (200–400 km),216.36,3.17,68.35,13.63,14.19,0.56,15.25,17.45,0.0807,40.87,0.1889,0.7548,Good
193,Toyota Fortuner,SUV,Hybrid,Long (200–400 km),305.01,3.54,86.05,17.09,18.33,1.24,16.64,20.05,0.0657,33.28,0.1091,0.846,Good
194,Honda Brio,Hatchback,Hybrid,Medium (50–200 km),127.81,2.81,45.53,22.77,21.37,-1.4,5.98,7.2,0.0563,11.96,0.0936,0.7808,Good
195,MG Hector,SUV,Diesel,Long (200–400 km),355.68,5.35,66.44,13.89,13.24,-0.65,26.86,30.74,0.0864,71.985,0.2024,0.6111,Average
196,Honda Brio,Hatchback,Hybrid,Long (200–400 km),254.33,5.02,50.65,20.98,22.04,1.06,11.54,13.9,0.0547,23.08,0.0907,0.8052,Good
197,Mercedes C-Class,Luxury,Petrol,Medium (50–200 km),158.33,3.91,40.52,10.78,10.79,0.01,14.68,18.57,0.1173,33.911,0.2142,0.5738,Average
198,Honda Brio,Hatchback,Petrol,Medium (50–200 km),172.97,3.58,48.37,18.67,20.16,1.49,8.58,10.85,0.0627,19.82,0.1146,0.7365,Average
199,Audi A6,Luxury,Hybrid,Long (200–400 km),320.33,3.81,84.04,12.37,12.6,0.23,25.43,30.64,0.0957,50.86,0.1588,0.6701,Average
200,Jaguar XF,Luxury,Hybrid,Medium (50–200 km),152.26,1.91,79.56,17.38,18.8,1.42,8.1,9.76,0.0641,16.2,0.1064,1.0,Excellent
201,Toyota Yaris,Sedan,Petrol,Very Long (>400 km),408.88,5.5,74.37,14.58,13.89,-0.69,29.44,37.24,0.0911,68.006,0.1663,0.5481,Poor
202,Tata Harrier,SUV,Petrol,Medium (50–200 km),99.02,1.82,54.49,12.86,12.15,-0.71,8.15,10.31,0.1041,18.827,0.1901,0.5607,Average
203,Toyota Yaris,Sedan,Diesel,Long (200–400 km),302.24,4.08,74.12,17.18,16.79,-0.39,18.0,20.6,0.0682,48.24,0.1596,0.6626,Average
204,Kia Seltos,SUV,Hybrid,Long (200–400 km),268.68,4.7,57.12,18.62,19.46,0.84,13.81,16.64,0.0619,27.62,0.1028,0.8979,Good
205,Renault Triber,MUV,Petrol,Long (200–400 km),331.7,3.55,93.51,14.25,13.45,-0.8,24.67,31.21,0.0941,56.988,0.1718,0.7054,Average
206,Mahindra Marazzo,MUV,Petrol,Long (200–400 km),287.55,2.98,96.56,11.08,10.73,-0.35,26.8,33.9,0.1179,61.908,0.2153,0.5629,Average
207,Toyota Yaris,Sedan,Hybrid,Short (<50 km),29.09,0.29,98.87,22.75,24.24,1.49,1.2,1.45,0.0498,2.4,0.0825,0.9566,Excellent
208,Maruti Swift,Hatchback,Hybrid,Medium (50–200 km),86.06,2.15,40.07,20.25,18.75,-1.5,4.59,5.53,0.0643,9.18,0.1067,0.685,Average
209,Toyota Yaris,Sedan,Petrol,Long (200–400 km),343.95,5.82,59.13,14.05,13.36,-0.69,25.75,32.58,0.0947,59.482,0.1729,0.5271,Poor
210,Renault Triber,MUV,Petrol,Medium (50–200 km),120.65,1.02,118.12,12.25,11.9,-0.35,10.14,12.83,0.1063,23.423,0.1941,0.6242,Average
211,Lexus ES,Luxury,Diesel,Long (200–400 km),387.61,4.07,95.33,11.5,10.52,-0.98,36.86,42.19,0.1088,98.785,0.2549,0.5594,Average
212,Maruti Ertiga,MUV,Petrol,Very Long (>400 km),483.3,6.51,74.25,11.52,11.23,-0.29,43.05,54.46,0.1127,99.446,0.2058,0.589,Average
213,Tata Harrier,SUV,Diesel,Long (200–400 km),329.7,3.31,99.62,12.59,13.3,0.71,24.79,28.37,0.086,66.437,0.2015,0.6138,Average
214,Hyundai Creta,SUV,Hybrid,Medium (50–200 km),197.71,1.98,100.1,17.62,16.33,-1.29,12.11,14.59,0.0738,24.22,0.1225,0.7535,Good
215,Tata Tiago,Hatchback,Hybrid,Long (200–400 km),398.23,3.55,112.26,24.78,25.99,1.21,15.32,18.46,0.0464,30.64,0.0769,0.9497,Excellent
216,MG Hector,SUV,Diesel,Long (200–400 km),253.11,3.02,83.67,13.27,12.23,-1.04,20.7,23.69,0.0936,55.476,0.2192,0.5643,Average
217,Hyundai Creta,SUV,Diesel,Very Long (>400 km),457.67,9.57,47.8,15.06,14.06,-1.0,32.54,37.24,0.0814,87.207,0.1905,0.6491,Average
218,Tata Tiago,Hatchback,Hybrid,Long (200–400 km),265.07,5.34,49.6,22.5,23.37,0.87,11.34,13.66,0.0515,22.68,0.0856,0.854,Good
219,Tata Harrier,SUV,Hybrid,Very Long (>400 km),477.15,7.2,66.31,19.31,18.7,-0.61,25.52,30.75,0.0644,51.04,0.107,0.8629,Good
220,Tata Harrier,SUV,Hybrid,Very Long (>400 km),405.56,3.41,118.93,19.73,19.35,-0.38,20.96,25.25,0.0623,41.92,0.1034,0.893,Good
221,Kia Carens,MUV,Petrol,Short (<50 km),45.74,0.47,97.4,14.49,14.57,0.08,3.14,3.97,0.0868,7.253,0.1586,0.7642,Good
222,Mahindra Marazzo,MUV,Petrol,Long (200–400 km),344.79,3.79,90.88,11.67,11.91,0.24,28.96,36.64,0.1063,66.898,0.194,0.6246,Average
223,BMW 5 Series,Luxury,Petrol,Long (200–400 km),241.23,2.27,106.3,9.23,8.66,-0.57,27.85,35.23,0.146,64.334,0.2667,0.4608,Poor
224,Renault Triber,MUV,Petrol,Long (200–400 km),245.02,2.54,96.45,11.42,10.53,-0.89,23.26,29.43,0.1201,53.731,0.2193,0.5526,Average
225,Hyundai i20,Hatchback,Hybrid,Short (<50 km),42.65,0.36,116.91,23.06,22.21,-0.85,1.92,2.31,0.0542,3.84,0.09,0.8116,Good
226,Mahindra Marazzo,MUV,Petrol,Long (200–400 km),322.22,2.95,109.08,12.08,13.04,0.96,24.71,31.26,0.097,57.08,0.1771,0.6841,Average
227,Lexus ES,Luxury,Diesel,Very Long (>400 km),488.37,7.02,69.53,13.65,14.05,0.4,34.77,39.8,0.0815,93.184,0.1908,0.7472,Average
228,Honda Brio,Hatchback,Petrol,Short (<50 km),35.97,0.72,49.75,17.6,17.9,0.3,2.01,2.54,0.0706,4.643,0.1291,0.6538,Average
229,Toyota Fortuner,SUV,Diesel,Long (200–400 km),338.31,3.86,87.63,13.9,14.14,0.24,23.93,27.39,0.081,64.132,0.1896,0.6525,Average
230,Audi A6,Luxury,Petrol,Very Long (>400 km),449.63,4.15,108.26,11.14,10.77,-0.37,41.76,52.83,0.1175,96.466,0.2145,0.5728,Average
231,Kia Seltos,SUV,Petrol,Very Long (>400 km),466.8,5.03,92.86,11.38,10.85,-0.53,43.02,54.42,0.1166,99.376,0.2129,0.5008,Poor
232,Honda Brio,Hatchback,Hybrid,Very Long (>400 km),461.93,6.83,67.6,24.23,26.59,2.36,17.37,20.93,0.0453,34.74,0.0752,0.9716,Excellent
233,Hyundai i20,Hatchback,Petrol,Short (<50 km),20.11,0.18,113.2,19.31,18.12,-1.19,1.11,1.4,0.0696,2.564,0.1275,0.6619,Average
234,Maruti Ciaz,Sedan,Hybrid,Medium (50–200 km),52.45,0.54,97.92,23.27,21.41,-1.86,2.45,2.95,0.0562,4.9,0.0934,0.8448,Good
235,Maruti Alto,Hatchback,Petrol,Medium (50–200 km),136.24,2.97,45.84,15.6,14.87,-0.73,9.16,11.59,0.0851,21.16,0.1553,0.5434,Poor
236,Maruti Alto,Hatchback,Diesel,Very Long (>400 km),460.56,9.47,48.64,18.44,19.48,1.04,23.64,27.06,0.0588,63.355,0.1376,0.7118,Average
237,Honda City,Sedan,Diesel,Long (200–400 km),208.07,2.0,104.19,16.37,16.92,0.55,12.3,14.08,0.0677,32.964,0.1584,0.6676,Average
238,Mercedes C-Class,Luxury,Hybrid,Very Long (>400 km),441.18,4.33,101.85,16.05,15.52,-0.53,28.42,34.24,0.0776,56.84,0.1288,0.8258,Good
239,Maruti Ciaz,Sedan,Diesel,Very Long (>400 km),407.87,6.21,65.66,17.3,17.09,-0.21,23.87,27.32,0.067,63.972,0.1568,0.6743,Average
240,Honda City,Sedan,Petrol,Very Long (>400 km),431.61,9.03,47.79,17.43,16.74,-0.69,25.78,32.61,0.0756,59.552,0.138,0.6607,Average
241,Hyundai i20,Hatchback,Hybrid,Medium (50–200 km),132.68,1.26,105.51,21.63,22.37,0.74,5.93,7.14,0.0538,11.86,0.0894,0.8174,Good
242,Hyundai Creta,SUV,Diesel,Medium (50–200 km),85.77,1.03,83.01,15.97,17.05,1.08,5.03,5.76,0.0672,13.48,0.1572,0.787,Good
243,Honda Brio,Hatchback,Hybrid,Very Long (>400 km),440.43,3.92,112.42,21.12,21.15,0.03,20.82,25.08,0.0569,41.64,0.0945,0.7729,Good
244,Hyundai i20,Hatchback,Diesel,Medium (50–200 km),162.87,2.55,63.85,18.43,19.12,0.69,8.52,9.75,0.0599,22.834,0.1402,0.6984,Average
245,Tata Tiago,Hatchback,Hybrid,Long (200–400 km),324.76,6.51,49.91,23.92,26.17,2.25,12.41,14.95,0.046,24.82,0.0764,0.9561,Excellent
246,MG Hector,SUV,Diesel,Very Long (>400 km),435.03,8.79,49.49,12.76,13.66,0.9,31.85,36.45,0.0838,85.358,0.1962,0.6304,Average
247,Maruti Alto,Hatchback,Hybrid,Long (200–400 km),231.23,2.94,78.63,23.69,25.13,1.44,9.2,11.08,0.0479,18.4,0.0796,0.9182,Excellent
248,Mahindra Marazzo,MUV,Petrol,Short (<50 km),26.9,0.26,104.24,14.35,13.06,-1.29,2.06,2.61,0.097,4.759,0.1769,0.6851,Average
249,Mercedes C-Class,Luxury,Hybrid,Long (200–400 km),200.99,2.81,71.47,15.02,14.89,-0.13,13.5,16.27,0.0809,27.0,0.1343,0.792,Good
250,Toyota Fortuner,SUV,Diesel,Long (200–400 km),234.66,2.21,106.39,12.67,12.29,-0.38,19.09,21.85,0.0931,51.161,0.218,0.5673,Average
251,Honda Brio,Hatchback,Petrol,Long (200–400 km),212.72,2.06,103.45,15.78,16.71,0.93,12.73,16.1,0.0757,29.406,0.1382,0.6105,Average
252,Honda Brio,Hatchback,Hybrid,Very Long (>400 km),478.71,4.12,116.29,24.75,25.5,0.75,18.77,22.61,0.0472,37.54,0.0784,0.9318,Excellent
253,Mahindra Marazzo,MUV,Petrol,Very Long (>400 km),474.93,9.26,51.3,14.41,13.69,-0.72,34.69,43.88,0.0924,80.134,0.1687,0.7183,Average
254,Honda Brio,Hatchback,Hybrid,Medium (50–200 km),184.44,2.04,90.21,23.1,24.62,1.52,7.49,9.02,0.0489,14.98,0.0812,0.8997,Good
255,Maruti Ciaz,Sedan,Petrol,Very Long (>400 km),416.45,4.35,95.72,17.69,16.31,-1.38,25.54,32.31,0.0776,58.997,0.1417,0.6435,Average
256,Maruti Alto,Hatchback,Petrol,Long (200–400 km),325.11,4.75,68.48,17.81,19.16,1.35,16.97,21.47,0.066,39.201,0.1206,0.6999,Average
257,Skoda Rapid,Sedan,Diesel,Medium (50–200 km),83.49,1.5,55.74,19.07,20.12,1.05,4.15,4.75,0.0569,11.122,0.1332,0.7939,Good
258,Honda City,Sedan,Hybrid,Long (200–400 km),272.52,2.71,100.74,22.5,21.58,-0.92,12.63,15.22,0.0558,25.26,0.0927,0.8515,Good
259,MG Hector,SUV,Diesel,Long (200–400 km),268.3,3.67,73.05,13.89,14.78,0.89,18.15,20.77,0.0774,48.642,0.1813,0.6822,Average
260,Maruti Ertiga,MUV,Diesel,Medium (50–200 km),171.73,3.86,44.46,13.36,13.08,-0.28,13.13,15.03,0.0875,35.188,0.2049,0.6862,Average
261,Toyota Fortuner,SUV,Petrol,Long (200–400 km),281.84,4.98,56.56,11.93,11.83,-0.1,23.82,30.13,0.1069,55.024,0.1952,0.5461,Poor
262,BMW 5 Series,Luxury,Petrol,Medium (50–200 km),137.86,1.31,104.99,8.02,8.28,0.26,16.64,21.05,0.1527,38.438,0.2788,0.4407,Poor
263,Hyundai i20,Hatchback,Petrol,Long (200–400 km),375.95,4.49,83.73,17.85,16.58,-1.27,22.68,28.69,0.0763,52.391,0.1394,0.6056,Average
264,Hyundai Verna,Sedan,Petrol,Medium (50–200 km),99.79,0.88,113.32,17.38,18.01,0.63,5.54,7.01,0.0702,12.797,0.1282,0.7108,Average
265,Maruti Alto,Hatchback,Diesel,Very Long (>400 km),476.99,4.82,99.03,21.04,20.64,-0.4,23.11,26.45,0.0555,61.935,0.1298,0.7541,Good
266,Tata Harrier,SUV,Petrol,Long (200–400 km),243.22,4.18,58.16,11.57,11.03,-0.54,22.05,27.89,0.1147,50.936,0.2094,0.5091,Poor
267,Maruti Ertiga,MUV,Diesel,Medium (50–200 km),145.64,1.62,89.94,15.12,14.18,-0.94,10.27,11.75,0.0807,27.524,0.189,0.744,Average
268,Tata Harrier,SUV,Diesel,Long (200–400 km),293.1,2.9,100.97,15.67,14.75,-0.92,19.87,22.74,0.0776,53.252,0.1817,0.6808,Average
269,Kia Seltos,SUV,Hybrid,Medium (50–200 km),194.36,1.88,103.51,18.98,17.45,-1.53,11.14,13.42,0.069,22.28,0.1146,0.8052,Good
270,Toyota Innova,MUV,Diesel,Short (<50 km),44.61,0.62,72.15,13.21,12.75,-0.46,3.5,4.01,0.0899,9.38,0.2103,0.6687,Average
271,Skoda Rapid,Sedan,Petrol,Medium (50–200 km),109.48,1.1,99.95,15.32,15.18,-0.14,7.21,9.12,0.0833,16.655,0.1521,0.5992,Average
272,Hyundai Verna,Sedan,Diesel,Short (<50 km),32.9,0.47,70.44,16.46,17.88,1.42,1.84,2.11,0.0641,4.931,0.1499,0.7056,Average
273,Maruti Ertiga,MUV,Petrol,Long (200–400 km),225.01,2.88,78.01,12.58,11.65,-0.93,19.31,24.43,0.1086,44.606,0.1982,0.6113,Average
274,Maruti Ertiga,MUV,Petrol,Long (200–400 km),340.03,4.2,80.88,13.83,14.03,0.2,24.24,30.67,0.0902,55.994,0.1647,0.7359,Average
275,Toyota Yaris,Sedan,Diesel,Long (200–400 km),338.39,3.16,107.13,19.89,19.69,-0.2,17.19,19.68,0.0582,46.069,0.1361,0.7768,Good
276,Mahindra Marazzo,MUV,Diesel,Long (200–400 km),256.33,2.67,96.07,16.64,15.54,-1.1,16.5,18.89,0.0737,44.22,0.1725,0.815,Good
277,Toyota Fortuner,SUV,Diesel,Very Long (>400 km),450.75,9.1,49.55,15.75,16.31,0.56,27.64,31.64,0.0702,74.075,0.1643,0.7526,Good
278,Tata Harrier,SUV,Diesel,Medium (50–200 km),112.03,1.33,84.44,14.39,14.15,-0.24,7.92,9.07,0.081,21.226,0.1895,0.6528,Average
279,Kia Carens,MUV,Petrol,Long (200–400 km),392.86,3.64,107.8,14.41,15.38,0.97,25.54,32.31,0.0822,58.997,0.1502,0.807,Good
280,Toyota Fortuner,SUV,Diesel,Long (200–400 km),276.97,3.05,90.83,14.96,15.93,0.97,17.39,19.9,0.0718,46.605,0.1683,0.7351,Average
281,Honda Brio,Hatchback,Diesel,Very Long (>400 km),421.53,4.38,96.35,18.17,16.73,-1.44,25.19,28.83,0.0684,67.509,0.1602,0.6114,Average
282,Mercedes C-Class,Luxury,Hybrid,Very Long (>400 km),466.48,5.67,82.21,13.84,14.54,0.7,32.09,38.66,0.0829,64.18,0.1376,0.7733,Good
283,Maruti Swift,Hatchback,Diesel,Very Long (>400 km),400.11,3.81,104.93,20.9,20.98,0.08,19.07,21.83,0.0546,51.108,0.1277,0.7665,Good
284,Maruti Ertiga,MUV,Diesel,Long (200–400 km),361.65,3.23,111.87,13.83,13.61,-0.22,26.58,30.42,0.0841,71.234,0.197,0.7138,Average
285,Kia Seltos,SUV,Diesel,Long (200–400 km),304.02,5.49,55.36,12.49,12.08,-0.41,25.16,28.8,0.0947,67.429,0.2218,0.5577,Average
286,Hyundai i20,Hatchback,Hybrid,Long (200–400 km),273.76,4.1,66.76,21.24,21.16,-0.08,12.94,15.59,0.0569,25.88,0.0945,0.7729,Good
287,Skoda Rapid,Sedan,Petrol,Medium (50–200 km),60.78,0.81,74.9,17.03,16.52,-0.51,3.68,4.66,0.0767,8.501,0.1399,0.6518,Average
288,Skoda Rapid,Sedan,Petrol,Medium (50–200 km),186.56,1.63,114.63,17.03,15.7,-1.33,11.88,15.03,0.0806,27.443,0.1471,0.6197,Average
289,Honda Brio,Hatchback,Petrol,Long (200–400 km),247.89,3.71,66.91,18.62,17.18,-1.44,14.43,18.25,0.0736,33.333,0.1345,0.6276,Average
290,Hyundai Verna,Sedan,Diesel,Medium (50–200 km),50.29,0.76,65.97,17.76,17.16,-0.6,2.93,3.35,0.0666,7.852,0.1561,0.6773,Average
291,BMW 5 Series,Luxury,Diesel,Long (200–400 km),225.99,4.91,45.99,12.46,13.52,1.06,16.71,19.13,0.0846,44.783,0.1982,0.7195,Average
292,Maruti Ertiga,MUV,Diesel,Long (200–400 km),262.36,2.58,101.5,13.57,14.87,1.3,17.64,20.19,0.077,47.275,0.1802,0.7803,Good
293,Hyundai Verna,Sedan,Petrol,Long (200–400 km),213.11,2.88,74.0,13.6,13.92,0.32,15.31,19.37,0.0909,35.366,0.166,0.5493,Poor
294,Maruti Swift,Hatchback,Petrol,Long (200–400 km),208.77,2.34,89.34,16.25,15.16,-1.09,13.77,17.42,0.0834,31.809,0.1524,0.5539,Average
295,Lexus ES,Luxury,Diesel,Very Long (>400 km),444.71,7.6,58.51,12.62,12.86,0.24,34.58,39.58,0.089,92.674,0.2084,0.6841,Average
296,Hyundai i20,Hatchback,Hybrid,Very Long (>400 km),435.23,4.94,88.06,24.34,23.4,-0.94,18.6,22.41,0.0515,37.2,0.0855,0.8549,Good
297,Kia Carens,MUV,Diesel,Medium (50–200 km),159.22,2.84,56.12,16.15,16.96,0.81,9.39,10.75,0.0675,25.165,0.1581,0.8896,Good
298,Hyundai i20,Hatchback,Diesel,Very Long (>400 km),458.14,5.16,88.83,18.22,18.06,-0.16,25.37,29.04,0.0634,67.992,0.1484,0.6598,Average
299,Mercedes C-Class,Luxury,Hybrid,Long (200–400 km),267.35,5.55,48.19,14.06,13.39,-0.67,19.97,24.06,0.09,39.94,0.1494,0.7122,Average
